Route_ID,START_LAT,START_LONG,END_LAT,END_LONG,Day,Time,Time_Taken
1,-37.86703,145.09159,-37.86735,145.09195,Monday,7:0,Too close - Skipped
2,-37.86703,145.09159,-37.86735,145.09195,Monday,12:0,Too close - Skipped
3,-37.86703,145.09159,-37.86735,145.09195,Monday,18:0,Too close - Skipped
4,-37.86703,145.09159,-37.86735,145.09195,Friday,7:0,Too close - Skipped
5,-37.86703,145.09159,-37.86735,145.09195,Friday,12:0,Too close - Skipped
6,-37.86703,145.09159,-37.86735,145.09195,Friday,18:0,Too close - Skipped
7,-37.86703,145.09159,-37.86735,145.09195,Saturday,7:0,Too close - Skipped
8,-37.86703,145.09159,-37.86735,145.09195,Saturday,12:0,Too close - Skipped
9,-37.86703,145.09159,-37.86735,145.09195,Saturday,18:0,Too close - Skipped
10,-37.86703,145.09159,-37.8676,145.09146,Monday,7:0,Too close - Skipped
11,-37.86703,145.09159,-37.8676,145.09146,Monday,12:0,Too close - Skipped
12,-37.86703,145.09159,-37.8676,145.09146,Monday,18:0,Too close - Skipped
13,-37.86703,145.09159,-37.8676,145.09146,Friday,7:0,Too close - Skipped
14,-37.86703,145.09159,-37.8676,145.09146,Friday,12:0,Too close - Skipped
15,-37.86703,145.09159,-37.8676,145.09146,Friday,18:0,Too close - Skipped
16,-37.86703,145.09159,-37.8676,145.09146,Saturday,7:0,Too close - Skipped
17,-37.86703,145.09159,-37.8676,145.09146,Saturday,12:0,Too close - Skipped
18,-37.86703,145.09159,-37.8676,145.09146,Saturday,18:0,Too close - Skipped
19,-37.86703,145.09159,-37.86723,145.09103,Monday,7:0,Too close - Skipped
20,-37.86703,145.09159,-37.86723,145.09103,Monday,12:0,Too close - Skipped
21,-37.86703,145.09159,-37.86723,145.09103,Monday,18:0,Too close - Skipped
22,-37.86703,145.09159,-37.86723,145.09103,Friday,7:0,Too close - Skipped
23,-37.86703,145.09159,-37.86723,145.09103,Friday,12:0,Too close - Skipped
24,-37.86703,145.09159,-37.86723,145.09103,Friday,18:0,Too close - Skipped
25,-37.86703,145.09159,-37.86723,145.09103,Saturday,7:0,Too close - Skipped
26,-37.86703,145.09159,-37.86723,145.09103,Saturday,12:0,Too close - Skipped
27,-37.86703,145.09159,-37.86723,145.09103,Saturday,18:0,Too close - Skipped
28,-37.86703,145.09159,-37.8516827,145.0943457,Monday,7:0,4 mins
29,-37.86703,145.09159,-37.8516827,145.0943457,Monday,12:0,4 mins
30,-37.86703,145.09159,-37.8516827,145.0943457,Monday,18:0,4 mins
31,-37.86703,145.09159,-37.8516827,145.0943457,Friday,7:0,4 mins
32,-37.86703,145.09159,-37.8516827,145.0943457,Friday,12:0,4 mins
33,-37.86703,145.09159,-37.8516827,145.0943457,Friday,18:0,5 mins
34,-37.86703,145.09159,-37.8516827,145.0943457,Saturday,7:0,3 mins
35,-37.86703,145.09159,-37.8516827,145.0943457,Saturday,12:0,4 mins
36,-37.86703,145.09159,-37.8516827,145.0943457,Saturday,18:0,4 mins
37,-37.86703,145.09159,-37.85193,145.09463,Monday,7:0,5 mins
38,-37.86703,145.09159,-37.85193,145.09463,Monday,12:0,4 mins
39,-37.86703,145.09159,-37.85193,145.09463,Monday,18:0,4 mins
40,-37.86703,145.09159,-37.85193,145.09463,Friday,7:0,5 mins
41,-37.86703,145.09159,-37.85193,145.09463,Friday,12:0,4 mins
42,-37.86703,145.09159,-37.85193,145.09463,Friday,18:0,4 mins
43,-37.86703,145.09159,-37.85193,145.09463,Saturday,7:0,3 mins
